"Comparison_Set","Group1","Group2","Metric","n1","n2","Mean1","Mean2","p_value","Significance"
"Y_vs_DY_vs_RAG1","Y","DY","Shannon",11,15,4.028,3.252,0.01753,"*"
"Y_vs_DY_vs_RAG1","Y","RAG1-/-","Shannon",11,6,4.028,4.475,0.0001616,"***"
"Y_vs_DY_vs_RAG1","DY","RAG1-/-","Shannon",15,6,3.252,4.475,3.686e-05,"***"
"Y_vs_DY_vs_RAG1","Y","DY","Simpson",11,15,0.954,0.827,0.009154,"**"
"Y_vs_DY_vs_RAG1","Y","RAG1-/-","Simpson",11,6,0.954,0.973,0.001939,"**"
"Y_vs_DY_vs_RAG1","DY","RAG1-/-","Simpson",15,6,0.827,0.973,3.686e-05,"***"
"Y_vs_DY_vs_RAG1","Y","DY","S.chao1",11,16,1344.822,1123.278,0.03005,"*"
"Y_vs_DY_vs_RAG1","Y","RAG1-/-","S.chao1",11,6,1344.822,1176.333,0.007111,"**"
"Y_vs_DY_vs_RAG1","DY","RAG1-/-","S.chao1",16,6,1123.278,1176.333,0.9714,"ns"
"Y_vs_O","Y","O","Shannon",11,11,4.028,3.869,0.4779,"ns"
"Y_vs_O","Y","O","Simpson",11,11,0.954,0.934,0.4009,"ns"
"Y_vs_O","Y","O","S.chao1",11,11,1344.822,1360.279,0.5619,"ns"
"DY_vs_DO","DY","DO","Shannon",15,15,3.252,2.958,0.3046,"ns"
"DY_vs_DO","DY","DO","Simpson",15,15,0.827,0.793,0.5393,"ns"
"DY_vs_DO","DY","DO","S.chao1",16,15,1123.278,996.459,0.2814,"ns"
