"","SampleID","Recipient","Background","Transplant","ImmuneSystem","Cage","Experiment","Groups","CageGroups","GroupsExp"
"Geiger_01","Geiger_01","Young","RAG1","Young_HSCs","Young","SHG0155-00076","2","DY","Young-RAG1-Young_HSCs-Young-SHG0155-00076","DY-2"
"Geiger_02","Geiger_02","Young","RAG1","Young_HSCs","Young","SHG0155-00076","2","DY","Young-RAG1-Young_HSCs-Young-SHG0155-00076","DY-2"
"Geiger_04","Geiger_04","Young","RAG1","Young_HSCs","Young","SHG0155-00077","2","DY","Young-RAG1-Young_HSCs-Young-SHG0155-00077","DY-2"
"Geiger_05","Geiger_05","Young","RAG1","Old_HSCs","Old","SHG0155-00077","2","DO","Young-RAG1-Old_HSCs-Old-SHG0155-00077","DO-2"
"Geiger_06","Geiger_06","Young","RAG1","Old_HSCs","Old","SHG0155-00077","2","DO","Young-RAG1-Old_HSCs-Old-SHG0155-00077","DO-2"
"Geiger_07","Geiger_07","Young","RAG1","Young_HSCs","Young","SHG0155-00079","2","DY","Young-RAG1-Young_HSCs-Young-SHG0155-00079","DY-2"
"Geiger_08","Geiger_08","Young","RAG1","Young_HSCs","Young","SHG0155-00079","2","DY","Young-RAG1-Young_HSCs-Young-SHG0155-00079","DY-2"
"Geiger_09","Geiger_09","Young","RAG1","Old_HSCs","Old","SHG0155-00079","2","DO","Young-RAG1-Old_HSCs-Old-SHG0155-00079","DO-2"
"Geiger_10","Geiger_10","Young","RAG1","Old_HSCs","Old","SHG0155-00079","2","DO","Young-RAG1-Old_HSCs-Old-SHG0155-00079","DO-2"
"HG0001_9876","HG0001_9876","Young","C57BL","None","Young","SHG0001-01849","1","Y","Young-C57BL-None-Young-SHG0001-01849","Y-1"
"HG0001_9877","HG0001_9877","Young","C57BL","None","Young","SHG0001-01849","1","Y","Young-C57BL-None-Young-SHG0001-01849","Y-1"
"HG0001_9878","HG0001_9878","Young","C57BL","None","Young","SHG0001-01849","1","Y","Young-C57BL-None-Young-SHG0001-01849","Y-1"
"HG0001_9879","HG0001_9879","Young","C57BL","None","Young","SHG0001-01850","1","Y","Young-C57BL-None-Young-SHG0001-01850","Y-1"
"HG0001_9880","HG0001_9880","Young","C57BL","None","Young","SHG0001-01850","1","Y","Young-C57BL-None-Young-SHG0001-01850","Y-1"
"HG0001_9881","HG0001_9881","Young","C57BL","None","Young","SHG0001-01850","1","Y","Young-C57BL-None-Young-SHG0001-01850","Y-1"
"HG0155_0047","HG0155_0047","Young","RAG1","None","Young","SHG0155-00023","1","RAG1-/-","Young-RAG1-None-Young-SHG0155-00023","RAG1-/--1"
"HG0155_0048","HG0155_0048","Young","RAG1","None","Young","SHG0155-00023","1","RAG1-/-","Young-RAG1-None-Young-SHG0155-00023","RAG1-/--1"
"HG0155_0049","HG0155_0049","Young","RAG1","None","Young","SHG0155-00023","1","RAG1-/-","Young-RAG1-None-Young-SHG0155-00023","RAG1-/--1"
"HG0155_0055","HG0155_0055","Young","RAG1","None","Young","SHG0155-00026","1","RAG1-/-","Young-RAG1-None-Young-SHG0155-00026","RAG1-/--1"
"HG0155_0056","HG0155_0056","Young","RAG1","None","Young","SHG0155-00026","1","RAG1-/-","Young-RAG1-None-Young-SHG0155-00026","RAG1-/--1"
"HG0155_0057","HG0155_0057","Young","RAG1","None","Young","SHG0155-00026","1","RAG1-/-","Young-RAG1-None-Young-SHG0155-00026","RAG1-/--1"
"RS0001_1171","RS0001_1171","Young","RAG1","Young_HSCs","Young","SRS0001-00420","1","DY","Young-RAG1-Young_HSCs-Young-SRS0001-00420","DY-1"
"RS0001_1173","RS0001_1173","Young","RAG1","Young_HSCs","Young","SRS0001-00420","1","DY","Young-RAG1-Young_HSCs-Young-SRS0001-00420","DY-1"
"RS0001_1180","RS0001_1180","Young","RAG1","Old_HSCs","Old","SRS0001-00422","1","DO","Young-RAG1-Old_HSCs-Old-SRS0001-00422","DO-1"
"RS0001_1181","RS0001_1181","Young","RAG1","Old_HSCs","Old","SRS0001-00422","1","DO","Young-RAG1-Old_HSCs-Old-SRS0001-00422","DO-1"
"RS0001_1196","RS0001_1196","Young","RAG1","Young_HSCs","Young","SRS0001-00427","1","DY","Young-RAG1-Young_HSCs-Young-SRS0001-00427","DY-1"
"RS0001_1197","RS0001_1197","Young","RAG1","Old_HSCs","Old","SRS0001-00427","1","DO","Young-RAG1-Old_HSCs-Old-SRS0001-00427","DO-1"
"RS0001_1206","RS0001_1206","Young","RAG1","Old_HSCs","Old","SRS0001-00431","1","DO","Young-RAG1-Old_HSCs-Old-SRS0001-00431","DO-1"
"RS0001_1218","RS0001_1218","Young","RAG1","Old_HSCs","Old","SRS0001-00440","1","DO","Young-RAG1-Old_HSCs-Old-SRS0001-00440","DO-1"
"RS0001_1221","RS0001_1221","Young","RAG1","Young_HSCs","Young","SRS0001-00435","1","DY","Young-RAG1-Young_HSCs-Young-SRS0001-00435","DY-1"
"RS0001_1222","RS0001_1222","Young","RAG1","Young_HSCs","Young","SRS0001-00435","1","DY","Young-RAG1-Young_HSCs-Young-SRS0001-00435","DY-1"
"RS0001_1223","RS0001_1223","Young","RAG1","Young_HSCs","Young","SRS0001-00435","1","DY","Young-RAG1-Young_HSCs-Young-SRS0001-00435","DY-1"
"Stahl_01","Stahl_01","Young","RAG1","Old_HSCs","Old","","3","DO","Young-RAG1-Old_HSCs-Old-","DO-3"
"Stahl_02","Stahl_02","Young","RAG1","Old_HSCs","Old","","3","DO","Young-RAG1-Old_HSCs-Old-","DO-3"
"Stahl_03","Stahl_03","Young","RAG1","Old_HSCs","Old","","3","DO","Young-RAG1-Old_HSCs-Old-","DO-3"
"Stahl_04","Stahl_04","Young","RAG1","Old_HSCs","Old","","3","DO","Young-RAG1-Old_HSCs-Old-","DO-3"
"Stahl_05","Stahl_05","Young","RAG1","Old_HSCs","Old","","3","DO","Young-RAG1-Old_HSCs-Old-","DO-3"
"Stahl_06","Stahl_06","Young","RAG1","Old_HSCs","Old","","3","DO","Young-RAG1-Old_HSCs-Old-","DO-3"
"Stahl_07","Stahl_07","Young","RAG1","Young_HSCs","Young","","3","DY","Young-RAG1-Young_HSCs-Young-","DY-3"
"Stahl_08","Stahl_08","Young","RAG1","Young_HSCs","Young","","3","DY","Young-RAG1-Young_HSCs-Young-","DY-3"
"Stahl_09","Stahl_09","Young","RAG1","Young_HSCs","Young","","3","DY","Young-RAG1-Young_HSCs-Young-","DY-3"
"Stahl_10","Stahl_10","Young","RAG1","Young_HSCs","Young","","3","DY","Young-RAG1-Young_HSCs-Young-","DY-3"
"Stahl_11","Stahl_11","Young","RAG1","Young_HSCs","Young","","3","DY","Young-RAG1-Young_HSCs-Young-","DY-3"
"Stahl_12","Stahl_12","Young","C57BL","None","Young","","3","Y","Young-C57BL-None-Young-","Y-3"
"Stahl_13","Stahl_13","Young","C57BL","None","Young","","3","Y","Young-C57BL-None-Young-","Y-3"
"Stahl_14","Stahl_14","Young","C57BL","None","Young","","3","Y","Young-C57BL-None-Young-","Y-3"
"Stahl_15","Stahl_15","Young","C57BL","None","Young","","3","Y","Young-C57BL-None-Young-","Y-3"
"Stahl_16","Stahl_16","Young","C57BL","None","Young","","3","Y","Young-C57BL-None-Young-","Y-3"
"Stahl_17","Stahl_17","Old","C57BL","None","Old","","3","O","Old-C57BL-None-Old-","O-3"
"Stahl_18","Stahl_18","Old","C57BL","None","Old","","3","O","Old-C57BL-None-Old-","O-3"
"Stahl_19","Stahl_19","Old","C57BL","None","Old","","3","O","Old-C57BL-None-Old-","O-3"
"Stahl_20","Stahl_20","Old","C57BL","None","Old","","3","O","Old-C57BL-None-Old-","O-3"
"Stahl_21","Stahl_21","Old","C57BL","None","Old","","3","O","Old-C57BL-None-Old-","O-3"
"TFZ002_8000","TFZ002_8000","Old","C57BL","None","Old","SHG0001-01845","1","O","Old-C57BL-None-Old-SHG0001-01845","O-1"
"TFZ002_8001","TFZ002_8001","Old","C57BL","None","Old","SHG0001-01845","1","O","Old-C57BL-None-Old-SHG0001-01845","O-1"
"TFZ002_8003","TFZ002_8003","Old","C57BL","None","Old","SHG0001-01846","1","O","Old-C57BL-None-Old-SHG0001-01846","O-1"
"TFZ002_8004","TFZ002_8004","Old","C57BL","None","Old","SHG0001-01846","1","O","Old-C57BL-None-Old-SHG0001-01846","O-1"
"TFZ002_8070","TFZ002_8070","Old","C57BL","None","Old","SHG0001-01848","1","O","Old-C57BL-None-Old-SHG0001-01848","O-1"
"TFZ002_8073","TFZ002_8073","Old","C57BL","None","Old","SHG0001-01848","1","O","Old-C57BL-None-Old-SHG0001-01848","O-1"
