"Pathway","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)",212.370090241605,26.2641378289643,2.95028621136503,8.90223386727369,5.47337928108561e-19,1.95399640334756e-16
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",56.2848073405705,-24.9810019391087,2.95047398634909,-8.46677586539922,2.52278883988865e-17,4.50317807920123e-15
"PWY-8131: 5'-deoxyadenosine degradation II",37.1027657338292,23.8252311367983,2.95066630177182,8.07452578507157,6.77393855057235e-16,8.06098687518109e-14
"PWY-5840: superpathway of menaquinol-7 biosynthesis",21.6454066718476,-23.682599239929,2.95090143828693,-8.02554735737881,1.01074254501732e-15,8.24322580397861e-14
"PWY-5897: superpathway of menaquinol-11 biosynthesis",19.1371406626636,-23.5126741837038,2.9509924645162,-7.96771745994906,1.61631878509385e-15,8.24322580397861e-14
"PWY-5898: superpathway of menaquinol-12 biosynthesis",19.1371406626636,-23.5126741837038,2.9509924645162,-7.96771745994906,1.61631878509385e-15,8.24322580397861e-14
"PWY-5899: superpathway of menaquinol-13 biosynthesis",19.1371406626636,-23.5126741837038,2.9509924645162,-7.96771745994906,1.61631878509385e-15,8.24322580397861e-14
"PWY-4702: phytate degradation I",16.9745071860722,-23.3495925531382,2.95109251839512,-7.91218587949806,2.52908394446142e-15,1.12860371021591e-13
"PWY-5497: purine nucleobases degradation II (anaerobic)",10.4079687524066,-22.3427391428248,2.95165104389857,-7.56957337115106,3.74451925028739e-14,1.48532596928066e-12
"PWY-5918: superpathway of heme b biosynthesis from glutamate",8.88033865093317,21.8328481113962,2.95212824511177,7.39562996544874,1.40739427849963e-13,5.02439757424369e-12
"PWY-6527: stachyose degradation",27569.1904641951,-0.472111547735797,0.0987925099456435,-4.77881924445039,1.76327620967796e-06,5.72263278959119e-05
"THRESYN-PWY: superpathway of L-threonine biosynthesis",9152.91151006332,0.395254896032895,0.11475341140703,3.44438471315616,0.000572360666834971,0.0170277298383404
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage",371.39103811916,6.50776417543215,1.99600837471872,3.26038921372222,0.0011125942248566,0.0305535490979852
"PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis",893.298600768246,3.44617534015721,1.15395422525432,2.98640558242049,0.00282277990462824,0.07198088756802
